GM1,GM2,GM3,GM4,GM7,GM8,GM9,GM10,GM11
-2.11E-06,-2.59E-02,1.02E-05,2.36E-05,-6.47E-05,1.00E-03,7.03E-02,-3.47E-02,1.15E-03
-2.09E-06,-2.64E-02,1.33E-05,2.53E-05,-2.74E-04,1.16E-03,4.17E-02,-9.64E-02,1.23E-03
-2.08E-06,-2.51E-02,1.87E-05,2.46E-05,-2.37E-05,1.30E-03,-4.57E-04,-6.63E-02,1.30E-03
-2.08E-06,-2.19E-02,2.56E-05,2.16E-05,-1.93E-04,1.41E-03,-2.92E-02,4.38E-02,1.38E-03
-2.08E-06,-1.72E-02,3.23E-05,2.07E-05,1.29E-03,1.49E-03,-3.51E-02,1.32E-01,1.46E-03
-2.09E-06,-1.13E-02,3.76E-05,2.29E-05,2.85E-03,1.57E-03,-2.38E-02,3.59E-02,1.52E-03
-2.11E-06,-4.63E-03,4.09E-05,2.34E-05,2.31E-03,1.63E-03,-8.65E-03,-1.02E-02,1.57E-03
-2.13E-06,2.33E-03,4.21E-05,2.20E-05,1.27E-03,1.65E-03,-2.52E-03,-8.45E-02,1.59E-03
-2.15E-06,9.12E-03,4.18E-05,2.16E-05,-9.22E-04,1.65E-03,-9.47E-03,-1.20E-01,1.59E-03
-2.16E-06,1.52E-02,4.04E-05,2.23E-05,-3.83E-03,1.65E-03,-1.47E-02,5.58E-02,1.57E-03
-2.17E-06,2.01E-02,3.74E-05,2.36E-05,-2.58E-03,1.66E-03,-6.51E-03,2.36E-03,1.52E-03
-2.17E-06,2.32E-02,3.19E-05,2.65E-05,2.27E-03,1.67E-03,-5.45E-06,8.61E-02,1.44E-03
-2.16E-06,2.39E-02,2.46E-05,2.82E-05,3.67E-03,1.64E-03,-6.93E-03,4.94E-03,1.35E-03
-2.16E-06,2.19E-02,1.58E-05,2.59E-05,8.05E-04,1.61E-03,-2.61E-02,-5.94E-02,1.25E-03
-2.16E-06,1.72E-02,4.79E-06,2.42E-05,-1.37E-04,1.59E-03,-4.64E-02,-8.40E-03,1.13E-03
-2.16E-06,1.00E-02,-8.91E-06,2.74E-05,-4.05E-04,1.59E-03,-5.38E-02,-7.72E-02,9.97E-04
-2.17E-06,1.32E-03,-2.35E-05,3.11E-05,2.53E-04,1.59E-03,-5.48E-02,5.42E-02,8.65E-04
-2.16E-06,-7.88E-03,-3.54E-05,3.10E-05,-7.55E-04,1.59E-03,-5.34E-02,6.26E-02,7.48E-04
-2.14E-06,-1.65E-02,-4.27E-05,2.62E-05,1.66E-03,1.56E-03,-4.09E-02,1.85E-03,6.56E-04
-2.13E-06,-2.36E-02,-4.59E-05,2.13E-05,4.66E-03,1.52E-03,-2.22E-02,6.60E-03,5.91E-04
-2.12E-06,-2.84E-02,-4.51E-05,2.25E-05,3.69E-03,1.46E-03,-1.17E-02,-6.44E-02,5.52E-04
-2.13E-06,-3.03E-02,-4.10E-05,2.65E-05,3.30E-03,1.41E-03,-7.15E-03,-5.49E-02,5.36E-04
